Unnamed: 0,budget,popularity,runtime,vote_average,cast,Story,year
0,237000000,150.437577,162.0,7.2,Sam Worthington,"Avatar In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. culture clash future space war space colony society Action Adventure Fantasy Science Fiction James Cameron",2009
1,300000000,139.082615,169.0,6.9,Johnny Depp,"Pirates of the Caribbean: At World's End Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. ocean drug abuse exotic island east india trading company love of one's life Adventure Fantasy Action Gore Verbinski",2007
2,245000000,107.376788,148.0,6.3,Daniel Craig,"Spectre A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. spy based on novel secret agent sequel mi6 Action Adventure Crime Sam Mendes",2015
3,250000000,112.31295,165.0,7.6,Christian Bale,"The Dark Knight Rises Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. dc comics crime fighter terrorist secret identity burglar Action Crime Drama Thriller Christopher Nolan",2012
4,260000000,43.926995,132.0,6.1,Taylor Kitsch,"John Carter John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. based on novel mars medallion space travel princess Action Adventure Science Fiction Andrew Stanton",2012
5,258000000,115.699814,139.0,5.9,Tobey Maguire,"Spider-Man 3 The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. dual identity amnesia sandstorm love of one's life forgiveness Fantasy Action Adventure Sam Raimi",2007
6,260000000,48.681969,100.0,7.4,Zachary Levi,"Tangled When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. hostage magic horse fairy tale musical Animation Family Byron Howard",2010
7,280000000,134.27922900000002,141.0,7.3,Robert Downey,"Avengers: Age of Ultron When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. marvel comic sequel superhero based on comic book vision Action Adventure Science Fiction Joss Whedon",2015
8,250000000,98.885637,153.0,7.4,Daniel Radcliffe,"Harry Potter and the Half-Blood Prince As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. witch magic broom school of witchcraft wizardry Adventure Fantasy Family David Yates",2009
9,250000000,155.790452,151.0,5.7,Ben Affleck,"Batman v Superman: Dawn of Justice Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. dc comics vigilante superhero based on comic book revenge Action Adventure Fantasy Zack Snyder",2016
10,270000000,57.925623,154.0,5.4,Brandon Routh,"Superman Returns Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel. saving the world dc comics invulnerability sequel superhero Adventure Fantasy Action Science Fiction Bryan Singer",2006
11,200000000,107.928811,106.0,6.1,Daniel Craig,"Quantum of Solace Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined. killing undercover secret agent british secret service Adventure Action Thriller Crime Marc Forster",2008
12,200000000,145.84737900000005,151.0,7.0,Johnny Depp,"Pirates of the Caribbean: Dead Man's Chest Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation. witch fortune teller bondage exotic island monster Adventure Fantasy Action Gore Verbinski",2006
13,255000000,49.046956,149.0,5.9,Johnny Depp,"The Lone Ranger The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice. texas horse survivor texas ranger partner Action Adventure Western Gore Verbinski",2013
14,225000000,99.398009,143.0,6.5,Henry Cavill,"Man of Steel A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. saving the world dc comics superhero based on comic book superhuman Action Adventure Fantasy Science Fiction Zack Snyder",2013
15,225000000,53.978602,150.0,6.3,Ben Barnes,"The Chronicles of Narnia: Prince Caspian One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir. based on novel fictional place brother sister relationship lion human being Adventure Family Fantasy Andrew Adamson",2008
16,220000000,144.448633,143.0,7.4,Robert Downey,"The Avengers When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins! new york shield marvel comic superhero based on comic book Science Fiction Action Adventure Joss Whedon",2012
